0,0,0,23051,-2573
1,50,0,22951,857
2,100,0,22851,603
3,150,0,22800,675
4,200,0,22713,842
5,250,0,22613,665
6,300,0,22531,-89
7,350,0,22631,-1171
8,400,0,22731,-2011
9,450,0,22831,-2107
10,500,0,22931,-1359
11,550,0,23031,-152
12,600,0,23131,894
13,650,0,23231,15
14,700,0,23222,859
15,750,0,23122,820
16,800,0,23022,551
17,850,0,22997,290
18,900,0,23097,186
19,950,0,23197,218
20,1000,0,23297,172
21,1050,0,23397,-99
22,1100,0,23497,-538
23,1150,0,23597,-927
24,1200,0,23697,-1016
25,1250,0,23797,-697
26,1300,0,23897,-98
27,1350,0,23997,486
28,1400,0,24004,787
29,1450,0,23904,745
30,1500,0,23804,487
31,1550,0,23810,231
32,1600,0,23910,124
33,1650,0,24010,156
34,1700,0,24110,130
35,1750,0,24210,-86
36,1800,0,24310,-461
37,1850,0,24410,-792
38,1900,0,24510,-874
39,1950,0,24610,-559
40,2000,50,24710,-35
41,1950,50,24810,465
42,1900,50,24827,725
43,1850,50,24727,678
44,1800,50,24638,429
45,1750,50,24673,177
46,1700,50,24773,70
47,1650,50,24873,105
48,1600,50,24973,100
49,1550,50,25073,-71
50,1500,50,25173,-379
51,1450,50,25273,-606
52,1400,50,25373,3852
53,1350,50,25273,24172
54,1300,50,25173,24377
55,1250,50,25073,24736
56,1200,50,24973,25515
57,1150,50,24873,26172
58,1100,50,24773,26388
59,1050,50,24673,26270
60,1000,50,24573,26210
61,950,50,24473,26201
62,900,50,24373,16714
63,850,50,24273,9314
64,800,50,24173,6023
65,750,50,24073,3674
66,700,50,23973,1439
67,650,50,23873,-329
68,600,50,23973,-1137
69,550,50,24073,-1005
70,500,50,24173,-509
71,450,50,24273,-329
72,400,50,24373,-739
73,350,50,24473,-1376
74,300,50,24573,-1485
75,250,50,24673,128
76,200,50,24773,9410
77,150,50,24673,27141
78,100,50,24573,25332
79,50,50,24473,13847
80,0,100,24373,6331
81,50,100,24273,2940
82,100,100,24173,1364
83,150,100,24073,681
84,200,100,23983,504
85,250,100,23981,558
86,300,100,23952,568
87,350,100,23918,361
88,400,100,23987,-26
89,450,100,24087,-422
90,500,100,24187,-644
91,550,100,24287,-578
92,600,100,24387,-296
93,650,100,24487,0
94,700,100,24587,148
95,750,100,24687,134
96,800,100,24787,74
97,850,100,24887,97
98,900,100,24987,245
99,950,100,25087,420
100,1000,100,25127,449
101,1050,100,25152,239
102,1100,100,25252,-112
103,1150,100,25352,-427
104,1200,100,25452,-512
105,1250,100,25552,397
106,1300,100,25603,11627
107,1350,100,25503,25064
108,1400,100,25403,24468
109,1450,100,25303,24519
110,1500,100,25203,25083
111,1550,100,25103,25797
112,1600,100,25003,26326
113,1650,100,24903,26568
114,1700,100,24803,25984
115,1750,100,24703,15405
116,1800,100,24603,8381
117,1850,100,24503,5637
118,1900,100,24403,4063
